"CLIENT_ID","CREDIT_TYPE","CREDIT_PURCHASE","PRODUCT_CODE","TERM","ORIG_AMOUNT","CURR_RATE_NVAL","VALUE_DT","OVERDUE_IND"
"9627","705","Хобби, собственное дело","GP Direct","24M","59800","24.9","2/21/2019","1"
"18589","704","Покупка авто (новые, б/у)","GP Cross-Sale","57M","186913","23.3","2/21/2019","1"
"5851","704","Прочее (укажите)","GP Cross-Sale","27M","83664","23.7","2/25/2019","1"
"10227","704","Ремонт, строительство","GP Cross-Sale","48M","111956.8","23.3","2/25/2019","1"
"470","704","Покупка мебели, бытовой техники","GP Cross-Sale","48M","500000","19.5","2/25/2019","1"
"10414","705","Покупка мебели, бытовой техники","GP Direct","60M","144556","23.9","2/28/2019","1"
"11030","704","Покупка авто (новые, б/у)","GP Cross-Sale","57M","299106.5","23.9","2/28/2019","1"
"13381","501","","Standard Installment Loan","24M","59262","16.13","2/28/2019","1"
"16727","704","Ремонт, строительство","GP Cross-Sale","60M","374232","19.5","2/28/2019","0"
"16630","501","","Standard Installment Loan","36M","59681","8.49","2/28/2019","0"
"17138","503","","Promo Beneficial Installment Loan","10M","29381","23.65","2/28/2019","1"
"18684","503","","Promo Beneficial Installment Loan","12M","16409","23.72","2/28/2019","1"
"9797","704","Ремонт, строительство","GP Cross-Sale","57M","613294","19.5","3/13/2019","0"
"5504","501","","Standard Installment Loan","36M","40959","17.54","3/18/2019","1"
"4356","704","Возврат денег (родственникам, друзьям)","GP Cross-Sale","39M","277001","22.5","3/4/2019","1"
"18267","501","","Standard Installment Loan","24M","65359","17.54","3/5/2019","1"
"13455","503","","Promo Beneficial Installment Loan","6M","23746.77","17.83","3/5/2019","1"
"12167","503","","Promo Beneficial Installment Loan","12M","27788.4","19.91","3/5/2019","0"
"1496","705","Ремонт, строительство","GP Direct","60M","500000","19.5","3/5/2019","1"
"8498","707","Ремонт, строительство","GP Top-Up","57M","699953.77","19.1","3/7/2019","1"
"12905","501","","Standard Installment Loan","36M","60999","17.54","3/11/2019","1"
"4977","705","Прочее (укажите)","GP Direct","27M","59029.6","24.9","3/12/2019","1"
"6435","503","","Promo Beneficial Installment Loan","10M","8675","23.65","3/12/2019","1"
"15475","501","","Standard Installment Loan","24M","79499","17.54","3/15/2019","0"
"18764","704","Подарки","GP Cross-Sale","39M","499271","19.5","3/14/2019","1"
"14879","705","Хобби, собственное дело","GP Direct","60M","299800","23.9","3/15/2019","1"
"23904","704","Ремонт, строительство","GP Cross-Sale","27M","68325.6","22.5","3/15/2019","1"
"3486","503","","Promo Beneficial Installment Loan","12M","9512.1","19.91","3/15/2019","1"
"14679","503","","Promo Beneficial Installment Loan","12M","6766.2","19.91","3/15/2019","1"
"7640","705","Покупка мебели, бытовой техники","GP Direct","36M","64853.6","24.9","3/15/2019","0"
"25868","501","","Standard Installment Loan","36M","79669","8.49","3/15/2019","1"
"7827","705","Ремонт, строительство","GP Direct","48M","323044.8","19.5","3/15/2019","0"
"11435","503","","Promo Beneficial Installment Loan","36M","62486","16.46","3/15/2019","0"
"6130","503","","Promo Beneficial Installment Loan","36M","26281.8","16.46","3/15/2019","1"
"17181","705","Ремонт, строительство","GP Direct","57M","439634","19.5","3/19/2019","1"
"1268","705","Ремонт, строительство","GP Direct","60M","281800","23.9","3/18/2019","1"
"16536","705","Прочее (укажите)","GP Direct","60M","299832","23.9","3/29/2019","1"
"10899","501","","Standard Installment Loan","36M","87700","17.54","3/27/2019","1"
"11829","707","Покупка недвижимости","GP Top-Up","60M","699110","19.5","3/19/2019","0"
"12485","503","","Promo Beneficial Installment Loan","12M","31161.85","17.78","3/19/2019","1"
"23648","704","Ремонт, строительство","GP Cross-Sale","57M","499044","19.7","4/23/2019","1"
"17385","501","","Standard Installment Loan","10M","13821","16.1","3/19/2019","1"
"3172","501","","Standard Installment Loan","24M","16585","16.13","3/19/2019","1"
"9338","501","","Standard Installment Loan","12M","10240.86","23.72","3/19/2019","1"
"5765","501","","Standard Installment Loan","36M","69799","17.54","5/15/2019","1"
"25868","704","Покупка авто (новые, б/у)","GP Cross-Sale","57M","314000","19.5","3/26/2019","1"
"7860","501","","Standard Installment Loan","36M","15870","8.49","3/20/2019","1"
"31106","707","Покупка мебели, бытовой техники","GP Top-Up","24M","139930","23.3","3/25/2019","1"
"457","707","Ремонт, строительство","GP Top-Up","51M","368000.7","19.5","3/22/2019","1"
"4729","704","Ремонт, строительство","GP Cross-Sale","57M","499958","19.5","3/22/2019","1"
"12945","704","Ремонт, строительство","GP Cross-Sale","57M","281969","23.3","3/23/2019","1"
"11380","503","","Promo Beneficial Installment Loan","24M","242403","17.33","3/28/2019","0"
"18270","705","Ремонт, строительство","GP Direct","57M","239696.5","23.9","3/29/2019","1"
"2300","707","","GP Top-Up","48M","498969.6","16","4/1/2019","1"
"13386","705","Ремонт, строительство","GP Direct","51M","207540","23.9","3/29/2019","1"
"1287","705","Хобби, собственное дело","GP Direct","60M","60000","24.9","3/28/2019","1"
"20000","503","","Promo Beneficial Installment Loan","10M","23759","23.65","3/28/2019","1"
"23368","705","Ремонт, строительство","GP Direct","60M","499999","19.5","3/28/2019","0"
"4128","501","","Standard Installment Loan","24M","95899","17.54","3/28/2019","1"
"4352","707","Обучение","GP Top-Up","57M","203722.6","23.3","3/28/2019","0"
"9346","503","","Promo Beneficial Installment Loan","24M","22234.04","8.14","4/8/2019","1"
"3890","503","","Promo Beneficial Installment Loan","10M","20868","23.65","3/28/2019","0"
"13521","705","Ремонт, строительство","GP Direct","57M","499044","19.5","3/28/2019","1"
"15082","705","Возврат денег (родственникам, друзьям)","GP Direct","60M","402000","19.5","3/28/2019","1"
"16090","705","Прочее (укажите)","GP Direct","27M","99699.6","24.9","3/28/2019","1"
"16571","501","","Standard Installment Loan","36M","70799","17.54","5/15/2019","1"
"4531","705","Ремонт, строительство","GP Direct","60M","298840","23.9","3/29/2019","1"
"16415","501","","Standard Installment Loan","10M","29226","16.1","3/29/2019","1"
"9787","503","","Promo Beneficial Installment Loan","12M","33093.04","17.78","3/29/2019","1"
"5677","503","","Promo Beneficial Installment Loan","24M","32399","10.33","4/1/2019","1"
"9740","707","Ремонт, строительство","GP Top-Up","57M","299658.33","24.1","4/4/2019","1"
"17985","705","Хобби, собственное дело","GP Direct","60M","299832","24.1","4/9/2019","1"
"2015","704","Прочее (укажите)","GP Cross-Sale","27M","243787.6","24.1","4/6/2019","1"
"1931","705","Хобби, собственное дело","GP Direct","57M","463626.5","19.9","4/9/2019","1"
"13560","704","Ремонт, строительство","GP Cross-Sale","60M","499800","19.7","4/24/2019","1"
"11783","503","","Promo Beneficial Installment Loan","6M","32955.34","23.42","4/9/2019","1"
"13125","501","","Standard Installment Loan","24M","34679","17.51","4/10/2019","1"
"16808","503","","Promo Beneficial Installment Loan","24M","17793","15.65","4/11/2019","1"
"18264","707","Ремонт, строительство","GP Top-Up","57M","174629.98","21.5","4/10/2019","1"
"15599","704","Ремонт, строительство","GP Cross-Sale","57M","344806.5","19.7","4/12/2019","0"
"2741","705","Прочее (укажите)","GP Direct","60M","400000","19.9","4/16/2019","1"
"15871","705","Ремонт, строительство","GP Direct","60M","250232","23.9","4/16/2019","0"
"10726","707","Покупка мебели, бытовой техники","GP Top-Up","60M","141854","23.5","4/15/2019","0"
"17915","704","Ремонт, строительство","GP Cross-Sale","60M","201800","22.7","4/15/2019","0"
"13833","501","","Standard Installment Loan","24M","14150","15.66","4/15/2019","1"
"5682","704","Покупка авто (новые, б/у)","GP Cross-Sale","57M","698981.5","19.7","4/15/2019","1"
"9026","503","","Promo Beneficial Installment Loan","12M","21221.1","19.91","4/16/2019","1"
"4689","503","","Promo Beneficial Installment Loan","24M","11699","15.65","4/16/2019","1"
"4689","705","Прочее (укажите)","GP Direct","57M","207706.5","24.1","4/17/2019","1"
"13099","707","Покупка мебели, бытовой техники","GP Top-Up","60M","415865","19.3","4/29/2019","0"
"10488","704","Ремонт, строительство","GP Cross-Sale","57M","358288","19.7","4/24/2019","1"
"12179","503","","Promo Beneficial Installment Loan","12M","76350","23.42","4/22/2019","1"
"14952","707","Лечение, косметология","GP Top-Up","36M","112064","24.1","4/19/2019","1"
"15083","707","Покупка авто (новые, б/у)","GP Top-Up","57M","699579.03","19.7","4/19/2019","1"
"9207","707","Покупка недвижимости","GP Top-Up","48M","499787","19.7","4/22/2019","1"
"14500","704","Ремонт, строительство","GP Cross-Sale","60M","231000","24.1","4/24/2019","1"
"5831","705","Ремонт, строительство","GP Direct","60M","299832","24.1","4/26/2019","1"
"3118","705","Ремонт, строительство","GP Direct","57M","269515.75","24.1","4/26/2019","1"
"7828","705","Ремонт, строительство","GP Direct","60M","298840","24.1","4/29/2019","1"
"9647","705","Ремонт, строительство","GP Direct","57M","199709","22.1","4/26/2019","1"
"18963","708","Прочее (укажите)","GP Refinance","60M","287273.24","19","5/6/2019","0"
"10042","503","","Promo Beneficial Installment Loan","6M","17983.79","23.42","4/26/2019","1"
"10907","503","","Promo Beneficial Installment Loan","24M","52782","15.65","4/26/2019","1"
"9573","503","","Promo Beneficial Installment Loan","24M","20242","15.65","4/26/2019","1"
"10235","501","","Standard Installment Loan","36M","42299","17.51","5/7/2019","1"
"5680","501","","Standard Installment Loan","36M","84460","8.49","4/29/2019","1"
"15860","501","","Standard Installment Loan","36M","88978","8.49","4/27/2019","1"
"11994","503","","Promo Beneficial Installment Loan","24M","25325","15.65","4/27/2019","1"
"10789","503","","Promo Beneficial Installment Loan","24M","53982","7.07","4/27/2019","1"
"16865","503","","Promo Beneficial Installment Loan","24M","38479.06","10.33","4/27/2019","1"
"10041","503","","Promo Beneficial Installment Loan","18M","30067","15.65","4/29/2019","0"
"1494","503","","Promo Beneficial Installment Loan","10M","27105","23.4","4/27/2019","1"
"16775","503","","Promo Beneficial Installment Loan","24M","24900","15.65","4/27/2019","1"
"13671","503","","Promo Beneficial Installment Loan","10M","11616","23.4","4/27/2019","1"
"18062","503","","Promo Beneficial Installment Loan","18M","84220","15.65","4/29/2019","0"
"5297","503","","Promo Beneficial Installment Loan","24M","32469.49","15.65","4/27/2019","1"
"4157","503","","Promo Beneficial Installment Loan","18M","17107","15.65","4/29/2019","1"
"12529","503","","Promo Beneficial Installment Loan","24M","71117","15.65","4/29/2019","1"
"16594","501","","Standard Installment Loan","36M","67427","8.49","4/29/2019","1"
"12461","501","","Standard Installment Loan","36M","41352","8.49","4/29/2019","1"
"5877","503","","Promo Beneficial Installment Loan","12M","37790.7","23.42","4/29/2019","1"
"5615","501","","Standard Installment Loan","12M","20297","15","4/29/2019","0"
"10778","501","","Standard Installment Loan","36M","107492","8.49","4/29/2019","0"
"16748","503","","Promo Beneficial Installment Loan","10M","16208","23.4","4/29/2019","1"
"14107","501","","Standard Installment Loan","36M","78800","17.51","4/30/2019","1"
"14903","503","","Promo Beneficial Installment Loan","18M","53989","13.6","4/29/2019","1"
"16187","503","","Promo Beneficial Installment Loan","10M","22505","23.4","4/29/2019","1"
"16740","501","","Standard Installment Loan","36M","90611","8.49","4/30/2019","1"
"17728","705","Ремонт, строительство","GP Direct","60M","499720","19.9","5/7/2019","1"
"2692","704","Ремонт, строительство","GP Cross-Sale","60M","421800","19.7","5/24/2019","0"
"13385","704","Отдых (отпуск, туризм, путешествия)","GP Cross-Sale","57M","283111.5","24.1","5/7/2019","0"
"5821","501","","Standard Installment Loan","36M","101307","8.49","5/7/2019","1"
"14650","501","","Standard Installment Loan","36M","60711","8.49","5/7/2019","1"
"17743","503","","Promo Beneficial Installment Loan","24M","21733","15.65","5/7/2019","1"
"17305","503","","Promo Beneficial Installment Loan","18M","13157","15.65","5/7/2019","1"
"1754","704","Отдых (отпуск, туризм, путешествия)","GP Cross-Sale","57M","120876.5","24.1","5/18/2019","0"
"7664","503","","Promo Beneficial Installment Loan","24M","18902","10.33","10/8/2019","1"
"3771","501","","Standard Installment Loan","18M","32500","17.51","5/8/2019","1"
"4883","705","Ремонт, строительство","GP Direct","24M","318275.2","19.9","5/20/2019","1"
"9421","501","","Standard Installment Loan","24M","65498.36","17.51","5/13/2019","0"
"3803","503","","Promo Beneficial Installment Loan","24M","91670","15.65","5/13/2019","1"
"6132","705","Прочее (укажите)","GP Direct","27M","48804","24.9","5/14/2019","1"
"11701","705","Ремонт, строительство","GP Direct","60M","436232","19.9","5/14/2019","1"
"9702","704","Покупка авто (новые, б/у)","GP Cross-Sale","60M","573600","19.7","7/30/2019","0"
"13458","705","Прочее (укажите)","GP Direct","57M","79746.5","24.9","5/14/2019","1"
"17825","705","Прочее (укажите)","GP Direct","57M","244038","24.1","5/14/2019","0"
"6066","705","Ремонт, строительство","GP Direct","57M","299106.5","24.1","5/14/2019","0"
"14341","503","","Promo Beneficial Installment Loan","18M","25127","15.65","5/14/2019","1"
"15770","705","Ремонт, строительство","GP Direct","36M","199800","23.9","5/14/2019","1"
"12571","501","","Standard Installment Loan","36M","248879","18.02","5/15/2019","1"
"17887","705","Ремонт, строительство","GP Direct","60M","99999","23.9","5/14/2019","1"
"16646","503","","Promo Beneficial Installment Loan","10M","35899.65","23.42","5/14/2019","1"
"11716","705","Ремонт, строительство","GP Direct","51M","421800","19.9","5/15/2019","1"
"1859","501","","Standard Installment Loan","36M","240000","18.02","5/17/2019","0"
"7656","503","","Promo Beneficial Installment Loan","24M","25155","15.65","5/14/2019","1"
"4763","705","Покупка авто (новые, б/у)","GP Direct","24M","99856","23.9","5/14/2019","1"
"9793","503","","Promo Beneficial Installment Loan","18M","11510","15.65","5/14/2019","1"
"10895","503","","Promo Beneficial Installment Loan","8M","19982.51","23.42","5/14/2019","1"
"16448","501","","Standard Installment Loan","36M","72637","8.49","5/14/2019","1"
"36600","503","","Promo Beneficial Installment Loan","10M","31061","23.4","5/14/2019","1"
"13725","705","Прочее (укажите)","GP Direct","60M","99999","24.9","5/15/2019","1"
"804","503","","Promo Beneficial Installment Loan","6M","14590.78","23.42","5/15/2019","1"
"12024","501","","Standard Installment Loan","36M","500000","15","5/15/2019","0"
"4699","503","","Promo Beneficial Installment Loan","10M","19040.2","23.4","5/15/2019","1"
"12002","503","","Promo Beneficial Installment Loan","18M","13103","15.65","5/15/2019","1"
"14235","503","","Promo Beneficial Installment Loan","10M","22505","23.4","5/15/2019","1"
"31225","704","Ремонт, строительство","GP Cross-Sale","57M","499044","19.7","5/15/2019","0"
"6156","707","Ремонт, строительство","GP Top-Up","60M","699458","19.7","5/17/2019","1"
"18604","503","","Promo Beneficial Installment Loan","6M","22287.58","23.42","5/24/2019","1"
"15644","705","Ремонт, строительство","GP Direct","57M","193996.5","24.1","5/17/2019","1"
"16324","501","","Standard Installment Loan","24M","61205","17.51","5/17/2019","1"
"16346","705","Ремонт, строительство","GP Direct","36M","199800","22.1","5/17/2019","1"
"9582","501","","Standard Installment Loan","36M","163349","18.02","5/20/2019","1"
"16060","705","Покупка недвижимости","GP Direct","60M","299800","23.9","5/18/2019","0"
"10730","705","Покупка авто (новые, б/у)","GP Direct","60M","299800","24.1","5/20/2019","1"
"18856","503","","Promo Beneficial Installment Loan","10M","15506","23.4","5/20/2019","1"
"16061","704","Покупка недвижимости","GP Cross-Sale","60M","699800","19.7","5/22/2019","1"
"6093","707","","GP Top-Up","24M","299099.2","22.9","5/21/2019","1"
"5547","704","Покупка авто (новые, б/у)","GP Cross-Sale","60M","499472","19.7","5/23/2019","0"
"10116","503","","Promo Beneficial Installment Loan","24M","14847","15.65","5/20/2019","1"
"17368","705","Прочее (укажите)","GP Direct","60M","500000","19.9","5/31/2019","0"
"23384","705","Ремонт, строительство","GP Direct","36M","149989.6","23.9","5/20/2019","1"
"6115","705","Покупка авто (новые, б/у)","GP Direct","60M","500000","19.9","5/20/2019","1"
"18702","705","Ремонт, строительство","GP Direct","57M","299106.5","23.9","5/20/2019","1"
"13695","501","","Standard Installment Loan","36M","55078","8.49","5/20/2019","1"
"1746","503","","Promo Beneficial Installment Loan","36M","170000","10.87","5/20/2019","1"
"4035","503","","Promo Beneficial Installment Loan","24M","20808","15.65","5/20/2019","1"
"15689","501","","Standard Installment Loan","36M","100788","15.66","5/20/2019","1"
"11727","705","Ремонт, строительство","GP Direct","57M","271686.5","23.9","5/21/2019","1"
"11932","705","Покупка мебели, бытовой техники","GP Direct","24M","45251.2","24.9","5/21/2019","1"
"1737","705","Прочее (укажите)","GP Direct","57M","299106.5","23.9","5/21/2019","1"
"1345","501","","Standard Installment Loan","36M","32230","17.51","5/21/2019","1"
"2017","501","","Standard Installment Loan","36M","80035","8.49","5/21/2019","1"
"23347","704","Покупка авто (новые, б/у)","GP Cross-Sale","57M","299335","23.5","5/21/2019","1"
"18667","503","","Promo Beneficial Installment Loan","12M","19622.1","19.91","5/21/2019","1"
"11855","503","","Promo Beneficial Installment Loan","24M","17533","15.65","5/21/2019","1"
"3137","501","","Standard Installment Loan","24M","40999","17.51","5/22/2019","1"
"31156","704","Хобби, собственное дело","GP Cross-Sale","36M","500000","19.7","6/18/2019","1"
"3745","704","Ремонт, строительство","GP Cross-Sale","60M","303800","19.7","5/22/2019","0"
"2003","705","Покупка мебели, бытовой техники","GP Direct","60M","84916","24.9","5/24/2019","1"
"4866","704","Покупка авто (новые, б/у)","GP Cross-Sale","48M","305800","19.7","5/23/2019","1"
"4167","707","Ремонт, строительство","GP Top-Up","57M","499896.31","19.7","5/23/2019","1"
"18577","705","Покупка авто (новые, б/у)","GP Direct","57M","415413","19.9","5/24/2019","0"
"5147","705","Ремонт, строительство","GP Direct","57M","299106.5","24.1","5/24/2019","1"
"17047","503","","Promo Beneficial Installment Loan","24M","123271","15.65","5/24/2019","1"
"5792","503","","Promo Beneficial Installment Loan","18M","21406","15.65","5/24/2019","1"
"16891","705","Ремонт, строительство","GP Direct","36M","299800","24.1","5/24/2019","1"
"18491","501","","Standard Installment Loan","18M","9357","15.66","5/24/2019","1"
"17269","705","Прочее (укажите)","GP Direct","24M","67600","24.9","5/24/2019","1"
"5223","501","","Standard Installment Loan","13M","30826","17.51","6/25/2019","1"
"9275","501","","Standard Installment Loan","24M","148729.28","18.02","5/24/2019","1"
"16722","501","","Standard Installment Loan","12M","5999","15","5/24/2019","1"
"14398","503","","Promo Beneficial Installment Loan","48M","35730","8.82","5/24/2019","0"
"15594","503","","Promo Beneficial Installment Loan","24M","49946.47","12.59","5/24/2019","1"
"16751","501","","Standard Installment Loan","36M","52900","17.51","5/28/2019","1"
"14355","501","","Standard Installment Loan","36M","32036","8.49","5/24/2019","1"
"3908","501","","Standard Installment Loan","36M","35805","8.49","5/27/2019","0"
"13453","707","Ремонт, строительство","GP Top-Up","24M","199485","21.5","5/29/2019","1"
"4212","705","Ремонт, строительство","GP Direct","60M","499472","19.9","6/7/2019","1"
"15534","501","","Standard Installment Loan","12M","58849","23.42","6/5/2019","1"
"13471","704","Прочее (укажите)","GP Cross-Sale","36M","45900","24.9","5/30/2019","1"
"9429","705","Ремонт, строительство","GP Direct","36M","99800","23.9","5/30/2019","1"
"18138","705","Хобби, собственное дело","GP Direct","60M","175938","24.1","6/3/2019","0"
"18125","503","","Promo Beneficial Installment Loan","6M","8182.77","23.42","5/30/2019","1"
"28000","503","","Promo Beneficial Installment Loan","18M","109802","13.6","5/30/2019","1"
"14695","705","Ремонт, строительство","GP Direct","60M","299500","24.1","6/1/2019","0"
"1547","707","Ремонт, строительство","GP Top-Up","60M","199239","21.5","5/31/2019","0"
"14233","503","","Promo Beneficial Installment Loan","18M","13058","15.65","5/31/2019","1"
"4918","705","Хобби, собственное дело","GP Direct","60M","105800","23.9","6/4/2019","1"
"1046","503","","Promo Beneficial Installment Loan","18M","24420","15.65","5/31/2019","1"
"4961","705","Покупка авто (новые, б/у)","GP Direct","36M","299800","23.9","6/5/2019","1"
"3562","501","","Standard Installment Loan","36M","83420","17.51","6/1/2019","0"
"15851","705","Ремонт, строительство","GP Direct","60M","99000","23.9","6/4/2019","1"
"16262","503","","Promo Beneficial Installment Loan","24M","19519.24","15.65","6/1/2019","1"
"2769","503","","Promo Beneficial Installment Loan","12M","71386.74","17.78","6/1/2019","1"
"31173","705","Ремонт, строительство","GP Direct","57M","287681.5","24.1","6/8/2019","1"
"3534","503","","Promo Beneficial Installment Loan","10M","12147","23.4","6/1/2019","1"
"12557","704","Ремонт, строительство","GP Cross-Sale","60M","299800","24.1","6/25/2019","0"
"36100","503","","Promo Beneficial Installment Loan","24M","19691","15.65","6/1/2019","1"
"6091","503","","Promo Beneficial Installment Loan","10M","77001","23.4","6/3/2019","1"
"18913","503","","Promo Beneficial Installment Loan","24M","34577.05","10.33","6/3/2019","1"
"4789","503","","Promo Beneficial Installment Loan","10M","10479","23.4","6/3/2019","0"
"5325","503","","Promo Beneficial Installment Loan","12M","11227","23.42","6/3/2019","1"
"6392","501","","Standard Installment Loan","24M","70127","17.51","6/3/2019","1"
"11802","501","","Standard Installment Loan","18M","51730","17.51","6/3/2019","1"
"11846","503","","Promo Beneficial Installment Loan","18M","22135","15.65","6/3/2019","0"
"11919","503","","Promo Beneficial Installment Loan","24M","18348","15.65","6/4/2019","0"
"10700","503","","Promo Beneficial Installment Loan","6M","30470","10.53","6/4/2019","1"
"1825","704","Ремонт, строительство","GP Cross-Sale","57M","173431.5","24.1","6/5/2019","1"
"8558","501","","Standard Installment Loan","14M","25939","15.66","6/5/2019","1"
"3871","705","Прочее (укажите)","GP Direct","60M","499800","19.9","6/5/2019","0"
"11104","705","Обучение","GP Direct","60M","59356","24.9","6/6/2019","1"
"5220","704","Возврат денег (родственникам, друзьям)","GP Cross-Sale","60M","299800","24.1","6/6/2019","0"
"14750","503","","Promo Beneficial Installment Loan","6M","11586.89","23.42","6/5/2019","0"
"17832","503","","Promo Beneficial Installment Loan","10M","18919","23.4","6/5/2019","1"
"16758","704","Покупка мебели, бытовой техники","GP Cross-Sale","57M","164291.5","24.1","6/7/2019","0"
"17913","503","","Promo Beneficial Installment Loan","24M","17611.62","15.65","6/5/2019","1"
"6431","503","","Promo Beneficial Installment Loan","10M","20676","23.42","6/5/2019","1"
"15049","503","","Promo Beneficial Installment Loan","10M","23763","23.4","6/5/2019","1"
"3607","705","Ремонт, строительство","GP Direct","60M","260152","24.1","6/10/2019","0"
"7879","503","","Promo Beneficial Installment Loan","24M","21496.87","15.65","6/6/2019","1"
"16547","707","Ремонт, строительство","GP Top-Up","60M","573649","19.7","6/14/2019","0"
"16936","503","","Promo Beneficial Installment Loan","36M","33860","9.66","6/7/2019","1"
"15435","705","Ремонт, строительство","GP Direct","60M","499472","19.9","6/6/2019","1"
"14487","704","Прочее (укажите)","GP Cross-Sale","39M","299945","24.1","6/6/2019","1"
"18766","501","","Standard Installment Loan","36M","8688","15.66","6/6/2019","1"
"1041","503","","Promo Beneficial Installment Loan","12M","8055","19.91","6/18/2019","1"
"12919","503","","Promo Beneficial Installment Loan","24M","17595.39","15.65","6/6/2019","1"
"4915","503","","Promo Beneficial Installment Loan","12M","22737","19.91","6/6/2019","1"
"10102","705","Ремонт, строительство","GP Direct","57M","499044","19.9","6/6/2019","1"
"5681","503","","Promo Beneficial Installment Loan","24M","19822","15.65","6/14/2019","1"
"3900","707","Ремонт, строительство","GP Top-Up","57M","499997.99","19.7","6/7/2019","0"
"23451","704","Хобби, собственное дело","GP Cross-Sale","57M","173431.5","24.1","6/8/2019","1"
"9910","707","Ремонт, строительство","GP Top-Up","60M","698047","19.7","6/21/2019","1"
"4760","705","Ремонт, строительство","GP Direct","39M","99782.5","24.9","6/7/2019","1"
"16283","705","Хобби, собственное дело","GP Direct","60M","299999","23.9","6/7/2019","1"
"6368","503","","Promo Beneficial Installment Loan","18M","29740","13.6","6/10/2019","1"
"12414","705","Ремонт, строительство","GP Direct","57M","299106.5","24.1","6/10/2019","1"
"10047","704","Прочее (укажите)","GP Cross-Sale","57M","228271.5","23.5","6/13/2019","1"
"1088","704","Покупка авто (новые, б/у)","GP Cross-Sale","57M","344806.5","19.7","6/7/2019","1"
"15847","503","","Promo Beneficial Installment Loan","24M","22967.1","10.33","6/7/2019","1"
"13176","503","","Promo Beneficial Installment Loan","18M","19397","15.65","6/7/2019","1"
"16396","503","","Promo Beneficial Installment Loan","24M","17954.04","15.65","6/7/2019","1"
"16753","503","","Promo Beneficial Installment Loan","24M","18174.34","15.65","6/7/2019","1"
"5668","705","Ремонт, строительство","GP Direct","57M","299106.5","24.1","6/7/2019","1"
"16579","704","Ремонт, строительство","GP Cross-Sale","57M","377939","19.7","6/7/2019","1"
"5215","501","","Standard Installment Loan","36M","199839","18.02","6/7/2019","1"
"17815","503","","Promo Beneficial Installment Loan","12M","42849","23.42","6/17/2019","1"
"13852","704","Ремонт, строительство","GP Cross-Sale","57M","299106.5","24.1","6/8/2019","1"
"2040","503","","Promo Beneficial Installment Loan","12M","19955","23.42","6/8/2019","1"
"11857","503","","Promo Beneficial Installment Loan","12M","11799","23.42","6/18/2019","1"
"11553","704","Хобби, собственное дело","GP Cross-Sale","60M","365800","19.7","6/8/2019","1"
"18403","503","","Promo Beneficial Installment Loan","24M","22847.73","15.65","6/8/2019","1"
"3920","501","","Standard Installment Loan","36M","487009","18.02","6/8/2019","1"
"1234","501","","Standard Installment Loan","24M","31057","17.51","6/14/2019","1"
"776","503","","Promo Beneficial Installment Loan","12M","18989","19.91","6/10/2019","1"
"14381","501","","Standard Installment Loan","36M","65716","8.49","6/10/2019","0"
"9190","503","","Promo Beneficial Installment Loan","18M","17586","15.65","6/10/2019","1"
"13371","705","Хобби, собственное дело","GP Direct","60M","499800","18.9","6/10/2019","0"
"17116","503","","Promo Beneficial Installment Loan","12M","58588","23.42","6/10/2019","1"
"1426","501","","Standard Installment Loan","36M","22234","8.49","6/10/2019","1"
"15106","705","Прочее (укажите)","GP Direct","57M","299106.5","24.1","6/10/2019","1"
"16099","705","Ремонт, строительство","GP Direct","60M","221800","24.1","6/14/2019","0"
"12197","503","","Promo Beneficial Installment Loan","24M","15185.69","15.65","6/10/2019","1"
"16763","501","","Standard Installment Loan","36M","58918","17.51","6/10/2019","1"
"17178","705","Ремонт, строительство","GP Direct","27M","199631.6","22.1","6/10/2019","1"
"728","503","","Promo Beneficial Installment Loan","24M","18617.4","10.33","6/10/2019","1"
"13101","705","Покупка недвижимости","GP Direct","60M","499720","19.9","6/13/2019","0"
"3476","705","Ремонт, строительство","GP Direct","60M","299800","24.1","6/11/2019","1"
"13801","503","","Promo Beneficial Installment Loan","18M","35159.91","15.65","6/11/2019","1"
"23644","705","Ремонт, строительство","GP Direct","60M","299832","24.1","6/11/2019","1"
"12007","503","","Promo Beneficial Installment Loan","18M","56731","13.6","6/13/2019","0"
"12168","705","Покупка недвижимости","GP Direct","57M","499044","19.9","6/11/2019","1"
"15729","704","Покупка мебели, бытовой техники","GP Cross-Sale","60M","586800","19.7","6/11/2019","1"
"5852","704","Покупка недвижимости","GP Cross-Sale","60M","305800","19.3","6/25/2019","0"
"1855","705","Ремонт, строительство","GP Direct","36M","75120","24.9","6/15/2019","1"
"18403","704","Покупка мебели, бытовой техники","GP Cross-Sale","57M","382509","19.7","6/13/2019","1"
"3474","705","Покупка мебели, бытовой техники","GP Direct","24M","40195.2","24.9","6/14/2019","0"
"14776","707","Покупка мебели, бытовой техники","GP Top-Up","60M","563495","19.7","6/22/2019","1"
"15187","704","Прочее (укажите)","GP Cross-Sale","36M","263600","24.1","6/15/2019","1"
"4712","503","","Promo Beneficial Installment Loan","48M","60007","8.82","6/13/2019","1"
"11724","705","Покупка авто (новые, б/у)","GP Direct","60M","299832","24.1","6/14/2019","0"
"10065","705","Ремонт, строительство","GP Direct","57M","178001.5","24.1","6/14/2019","1"
"9954","705","Ремонт, строительство","GP Direct","57M","149439","23.9","6/14/2019","1"
"2119","501","","Standard Installment Loan","12M","37550","19","6/14/2019","1"
